,Initial NAV,10 September NAV,30 September NAV,Minimum NAV,Minimum date,Final NAV,Maximum drawdown (%)
Q3 - Actual delta hedge,128.77039942151907,9.085606663008775,45.06088849756196,9.085606663008775,1998-09-10,156.7927506212767,95.08753186122246
Q4 - Fixed rate,128.77039942151907,2.5203025202694675,31.837147065428383,1.5103490928754013,1998-10-08,141.9275385082642,99.17312747380117
Q4 - Fixed volatility,128.77039942151907,146.0807194620685,154.1123583679102,128.67444986904707,1998-02-26,153.80141086155356,11.361789311900106
Q5 - Delta-vega hedge,128.77039942151907,106.70756183084319,110.45767475614292,95.58694585846263,1998-12-23,98.79403087686978,26.87427591449453
